Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
4.679999999999999716e+00,2.581282157263627640e-04,8.110435081675784889e-07,4.389224109809466805e-03,7.832087981510035454e-07,-2.379484236300230648e+00,6.358699149697371461e-03,-6.746287812714228949e+00,3.616934330727762160e-04
4.700000000000000178e+00,5.418659030205090531e-04,8.045239015504678359e-07,5.865009390087340922e-03,7.762602792410046933e-07,-1.891654083232745975e+00,3.003929654580600461e-03,-7.067219577359509231e+00,2.686234181700066035e-04
4.700000000000000178e+00,4.073580483323879764e-04,8.045291785232515867e-07,6.143070181633858602e-03,7.762844097584077505e-07,-1.631564834623549842e+00,3.993973975684910090e-03,-6.889603281526087031e+00,2.563407946445266962e-04
4.719999999999999751e+00,1.098551063571338209e-03,7.977211660311949728e-07,9.696834242632733011e-03,7.704116293293375349e-07,-1.588314597824757257e+00,1.458638101206829107e-03,-7.308268288960621639e+00,1.595239405167718147e-04
4.740000000000000213e+00,1.898910293630471898e-03,7.907575196511679815e-07,1.217777501506208358e-02,7.635605072985032803e-07,-2.115052770397952031e+00,8.422318552580456254e-04,-7.995228821065703428e+00,1.268717467465035800e-04
4.759999999999999787e+00,2.027447085746026095e-03,7.839215530210361326e-07,1.105653846214824446e-02,7.571519489121432045e-07,-2.529429215167390055e+00,7.826488801839800004e-04,-8.491617265197715980e+00,1.385257463305628544e-04
4.780000000000000249e+00,1.857677943427622335e-03,7.775893765876456008e-07,8.987635002285762620e-03,7.507603422800393664e-07,-2.781125914461886950e+00,8.409747890605765103e-04,-8.788829664455715118e+00,1.679819511538034951e-04
4.799999999999999822e+00,1.554409052358697325e-03,7.708810136817960365e-07,6.465638405244993059e-03,7.443262695106730012e-07,-2.940809274610193924e+00,1.002061208470603031e-03,-8.957655599556922255e+00,2.327981571863785672e-04
4.799999999999999822e+00,1.663542296212996031e-03,7.706620941190622525e-07,7.232529169634485840e-03,7.443558968562170260e-07,-2.933812919055284851e+00,9.383604521915945608e-04,-8.979643146152396227e+00,2.084022135830653248e-04
4.820000000000000284e+00,1.495777894959843864e-03,7.644618526540083783e-07,5.916621693158594271e-03,7.383032568792062688e-07,-3.026172182751817985e+00,1.033679006236595897e-03,-9.099994031714434328e+00,2.524262989965098277e-04
4.839999999999999858e+00,1.363218349658929657e-03,7.582659580534183198e-07,4.911790964895099663e-03,7.323276519495268946e-07,-3.086185109725365194e+00,1.126564660491517853e-03,-9.182736666857367780e+00,3.018737587423148822e-04
4.860000000000000320e+00,1.254032938473741404e-03,7.523698141400161014e-07,4.150075892983361332e-03,7.266630150212349587e-07,-3.130655399476822254e+00,1.208431845445876547e-03,-9.243570468373382809e+00,3.526166468014429577e-04
4.879999999999999893e+00,1.168141229119476574e-03,7.460512676659595150e-07,3.570910910799910808e-03,7.206097252106073841e-07,-3.156624357928288660e+00,1.286572096570689312e-03,-9.283564315779454290e+00,4.062988486727387252e-04
