Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
3.819999999999999840e+00,6.968214351095999868e-06,1.217835105567916516e-06,8.375555763313158146e-04,1.175833049152317234e-06,-2.604764987960134448e+00,3.532151915495597150e-01,-3.227956454796069075e+00,2.836367565730474848e-03
3.839999999999999858e+00,7.769972238091651107e-06,1.204765275626873858e-06,8.274437245842873991e-04,1.163413631924676172e-06,-1.697451200126285364e+00,3.123306196261532164e-01,-3.238331853877227218e+00,2.838300760124258006e-03
3.859999999999999876e+00,3.662702419717242600e-06,1.192056058671933280e-06,8.127060141394313328e-04,1.151788373833953058e-06,-1.876951964195956224e+00,6.556658203079511749e-01,-3.234993667781408178e+00,2.851356591578211534e-03
3.879999999999999893e+00,4.744376042710268432e-06,1.180085802059967490e-06,7.980573263739012321e-04,1.139470241079049137e-06,-3.440733609152166750e-01,5.003726698200224865e-01,-3.234814285154669733e+00,2.874676028425623021e-03
3.899999999999999911e+00,6.443720598929142836e-06,1.168027019422852767e-06,7.877895457229348343e-04,1.127754269928177907e-06,-1.387925534965981811e+00,3.651368043756378912e-01,-3.236983405675772474e+00,2.890090717716068541e-03
3.899999999999999911e+00,3.863406365333665170e-06,1.167877052479452041e-06,7.902741172996834108e-04,1.127586704426219418e-06,-1.801370508748775912e+00,6.087871756029807901e-01,-3.238665127076826522e+00,2.879597580236116765e-03
3.919999999999999929e+00,4.905016632647051674e-06,1.155924391825305795e-06,7.739622791835175592e-04,1.116489795619061188e-06,-1.255735608621376898e+00,4.769546623184444667e-01,-3.232145585851709413e+00,2.913777152752455857e-03
3.939999999999999947e+00,7.823717110122422274e-06,1.143912080632999320e-06,7.590752535524850032e-04,1.104762435225656134e-06,-1.059686719878724759e+00,2.974540729991644872e-01,-3.232366577063800150e+00,2.958415968232118443e-03
3.960000000000000409e+00,8.457039169302786095e-06,1.132170397842771753e-06,7.454314325486444300e-04,1.093878562764328832e-06,-7.750207404938933564e-01,2.707600932550969230e-01,-3.244394379205463252e+00,2.963303684230985703e-03
3.979999999999999982e+00,7.256984428230226081e-06,1.121653850131170759e-06,7.307272350313441306e-04,1.083513989668204715e-06,-7.068325783570839072e-01,3.103922417412688928e-01,-3.236576541660131312e+00,2.973266371960949905e-03
4.000000000000000000e+00,1.105324799824223972e-05,1.110035012841574790e-06,7.151790922567628078e-04,1.072271101009891203e-06,-2.857447433932058800e-01,2.036277313833693148e-01,-3.237890143251940245e+00,3.039557125662432305e-03
4.000000000000000000e+00,7.972482800496646523e-06,1.110515619140926599e-06,7.172486773837081272e-04,1.072269549122788924e-06,-4.252246447989951328e-01,2.796584933955662544e-01,-3.244913770898330441e+00,3.002879997981333822e-03
4.019999999999999574e+00,1.161536169213013407e-05,1.099408037782593694e-06,6.994405256220427016e-04,1.062050935466728668e-06,-8.351519144175068021e-02,1.911776853213745520e-01,-3.233504627604849802e+00,3.065223532367508316e-03
4.040000000000000036e+00,1.019126204525823029e-05,1.088902680458189182e-06,6.856012654547799946e-04,1.051790813229377007e-06,-3.976131674968366170e-01,2.156444849636220129e-01,-3.235514372718810705e+00,3.095118349292232292e-03
4.059999999999999609e+00,1.394675863629092650e-05,1.077671326975460540e-06,6.656495437187730582e-04,1.040450702447385155e-06,-2.900919451288865858e-01,1.563980693074640271e-01,-3.236001289859085972e+00,3.166769781045918313e-03
4.080000000000000071e+00,1.668460411207714351e-05,1.067100278654928491e-06,6.464301595996953601e-04,1.030688698522605579e-06,-4.047187282701711908e-01,1.299187854875517578e-01,-3.245354854906288722e+00,3.236522299974753294e-03
4.099999999999999645e+00,1.921210812343623824e-05,1.056883652950374339e-06,6.344728187769844378e-04,1.020814549979322743e-06,-3.401332089044384333e-01,1.110686207522091490e-01,-3.238912626059668121e+00,3.247227550336722040e-03
4.099999999999999645e+00,1.816400388581453619e-05,1.056900302097709940e-06,6.273251802635087387e-04,1.020624401753060061e-06,-1.637366438959038106e-01,1.172470944012118377e-01,-3.239138396535652831e+00,3.278595120261106662e-03
4.120000000000000107e+00,1.890967233581826993e-05,1.046740135743091921e-06,6.094330175809263431e-04,1.010623483870361996e-06,-2.904480392665531596e-01,1.120251537821575910e-01,-3.241905864389552860e+00,3.358988989841876684e-03
4.139999999999999680e+00,2.242429190851166258e-05,1.035878694480753781e-06,5.889195581140957685e-04,1.000472920454379405e-06,-1.359515464650868921e-01,9.324264703833318180e-02,-3.243745884017084080e+00,3.428643678878036134e-03
4.160000000000000142e+00,2.309165891007861879e-05,1.026621652830782859e-06,5.680490503472373880e-04,9.915001735092731034e-07,-3.490417277437511956e-01,8.921896805986934131e-02,-3.242531516594745256e+00,3.501123465376203368e-03
4.179999999999999716e+00,2.527552843683769177e-05,1.016616834440372016e-06,5.447633231150704816e-04,9.817205456840828107e-07,-2.514654122504369482e-01,8.161278672980838700e-02,-3.245080405191579587e+00,3.657229109895628744e-03
4.200000000000000178e+00,2.876630152694460607e-05,1.007668244231384949e-06,5.294536022923463552e-04,9.731074934812604249e-07,-3.300560469841089528e-01,7.067476905220400341e-02,-3.239406995144340939e+00,3.709275819729006187e-03
4.200000000000000178e+00,2.750811482108804693e-05,1.006725004637541263e-06,5.208428724907540001e-04,9.721786113008711897e-07,-3.065085470645394494e-01,7.421996370991615355e-02,-3.248447160105460085e+00,3.786822939722208486e-03
4.219999999999999751e+00,2.852299276372080854e-05,9.970388550652009587e-07,4.960473366716835900e-04,9.629922207018727575e-07,-2.349077165033124359e-01,7.098638772744492176e-02,-3.242881944517135295e+00,3.941344252962185324e-03
4.240000000000000213e+00,3.298149554214026887e-05,9.882591685832258421e-07,4.701048564222468648e-04,9.544330522126003571e-07,-2.605154941374281385e-01,6.012369533872366500e-02,-3.245312667843514909e+00,4.073080014750768939e-03
